class template, instantiations, multiple overload instantiations, loc, definition file path, line
base::RepeatingTimer, //72, //67, //1, //base/timer/timer.h, //215
list_set, //27, //7, //116, //content/browser/indexed_db/list_set.h, //23
fileapi::TaskRunnerBoundObserverList, //3, //3, //44, //webkit/browser/fileapi/task_runner_bound_observer_list.h, //35
extensions::ProfileKeyedAPIFactory, //168, //37, //69, //chrome/browser/extensions/api/profile_keyed_api_factory.h, //61
ppapi::ThreadAwareCallback, //18, //8, //44, //ppapi/shared_impl/thread_aware_callback.h, //56
gfx::InsetsBase, //1, //1, //44, //ui/gfx/insets_base.h, //15
VectoredHandlerT, //6, //3, //68, //chrome_frame/crash_reporting/vectored_handler.h, //51
base::internal::StringPieceDetail, //35, //2, //79, //base/strings/string_piece.h, //47
ObserverListBase, //937, //19, //90, //base/observer_list.h, //64
syncer::Immutable, //23, //17, //11, //sync/internal_api/public/util/immutable.h, //233
extensions::DeclarativeConditionSet, //11, //5, //102, //chrome/browser/extensions/api/declarative/declarative_rule.h, //54
ObserverListThreadSafe, //44, //20, //134, //base/observer_list_threadsafe.h, //94
base::android::ScopedJavaGlobalRef, //78, //6, //29, //base/android/scoped_java_ref.h, //156
gpu::gles2::ValueValidator, //65, //1, //23, //gpu/command_buffer/service/gles2_cmd_validation.h, //20
TestCompletionCallbackWithOutput, //33, //13, //18, //ppapi/tests/test_utils.h, //246
internal::TestCompletionCallbackWithOutputBase, //3, //2, //46, //ppapi/tests/test_utils.h, //188
ppapi::thunk::EnterResourceNoLock, //61, //22, //11, //ppapi/thunk/enter.h, //214
extensions::RequestQueue, //26, //3, //135, //chrome/browser/extensions/updater/request_queue.h, //37
net::ExpiringCache, //4, //2, //89, //net/base/expiring_cache.h, //74
ScopedUserPrefUpdate, //2, //2, //17, //chrome/browser/prefs/scoped_user_pref_update.h, //66
policy::CloudPolicyValidator, //2, //2, //26, //chrome/browser/policy/cloud/cloud_policy_validator.h, //240
ppapi::proxy::EnterHostFromHostResource, //18, //6, //18, //ppapi/proxy/enter_proxy.h, //44
ppapi::proxy::EnterHostFromHostResourceForceCallback, //12, //5, //83, //ppapi/proxy/enter_proxy.h, //101
ppapi::proxy::EnterPluginFromHostResource, //10, //6, //12, //ppapi/proxy/enter_proxy.h, //27
STLValueDeleter, //24, //15, //7, //base/stl_util.h, //182
CancelableRequestConsumerT, //10, //2, //18, //chrome/browser/common/cancelable_request.h, //456
syncer::internal::ImmutableCore, //3, //1, //21, //sync/internal_api/public/util/immutable.h, //80
net::ClientSocketPoolBase, //6, //6, //152, //net/socket/client_socket_pool_base.h, //601
base::ManualConstructor, //11, //3, //74, //base/memory/manual_constructor.h, //26
pp::CompletionCallbackWithOutput, //59, //22, //22, //ppapi/cpp/completion_callback.h, //232
pp::internal::CompletionCallbackWithOutputBase, //2, //2, //28, //ppapi/cpp/completion_callback.h, //179
base::mac::ScopedBlock, //9, //8, //56, //base/mac/scoped_block.h, //21
gfx::BreakList, //33, //3, //99, //ui/gfx/break_list.h, //27
IDMap::Iterator, //3, //3, //57, //base/id_map.h, //133
syncer::Ordinal, //69, //6, //268, //sync/internal_api/public/base/ordinal.h, //58
TestingPrefServiceBase, //19, //3, //157, //base/prefs/testing_pref_service.h, //24
ScopedRef, //15, //6, //37, //native_client_sdk/src/libraries/sdk_util/scoped_ref.h, //33
CheckReturnValue, //1, //1, //27, //courgette/memory_allocator.h, //19
aura::WindowPropertyCaster, //13, //1, //5, //ui/aura/window_property.h, //54
CancelableRequestConsumerTSimple, //18, //3, //167, //chrome/browser/common/cancelable_request.h, //214
nacl::RefCountedData, //1, //1, //7, //ppapi/native_client/src/include/ref_counted.h, //93
nacl::RefCountedThreadSafe, //2, //1, //17, //ppapi/native_client/src/include/ref_counted.h, //66
SynchronizedMap, //13, //4, //58, //chrome/test/chromedriver/synchronized_map.h, //16
ppapi::proxy::ProxyCompletionCallbackFactory, //6, //6, //8, //ppapi/proxy/proxy_completion_callback_factory.h, //75
PrefMember, //31, //6, //127, //base/prefs/pref_member.h, //161
WDResult, //21, //8, //14, //components/webdata/common/web_data_results.h, //66
base::ThreadLocalPointer, //35, //28, //21, //base/threading/thread_local.h, //79
base::StatsScope, //9, //4, //15, //base/metrics/stats_counters.h, //176
ui::ListModel, //10, //4, //81, //ui/base/models/list_model.h, //20
autofill::GenericAutofillChange, //0, //0, //18, //components/autofill/core/browser/webdata/autofill_change.h, //20
CancelableRequest1, //9, //8, //10, //chrome/browser/common/cancelable_request.h, //1002
ppapi::proxy::ArrayOutputAdapter, //0, //0, //16, //ppapi/proxy/proxy_array_output.h, //85
ppapi::proxy::ArrayOutputAdapterWithStorage, //0, //0, //9, //ppapi/proxy/proxy_array_output.h, //108
ppapi::proxy::RefCountedArrayOutputAdapter, //1, //1, //8, //ppapi/proxy/proxy_array_output.h, //126
courgette::NoThrowBuffer, //6, //6, //129, //courgette/memory_allocator.h, //324
media::CallbackHolder, //10, //4, //54, //media/base/callback_holder.h, //16
dbus::Property, //107, //14, //174, //dbus/property.h, //353
net::internal::TestCompletionCallbackTemplate, //2, //2, //23, //net/base/test_completion_callback.h, //48
base::win::ScopedComPtr, //4, //2, //85, //base/win/scoped_comptr.h, //20
extensions::ScopedPersistent, //1, //1, //58, //chrome/renderer/extensions/scoped_persistent.h, //16
content::IndexedDBDispatcherHost::RefIDMap, //3, //3, //22, //content/browser/indexed_db/indexed_db_dispatcher_host.h, //97
fileapi::FileSystemOperationContext::ValueAdapter, //2, //1, //9, //webkit/browser/fileapi/file_system_operation_context.h, //93
SubclassingWindowWithDelegate, //1, //1, //1, //chrome_frame/infobars/internal/subclassing_window_with_delegate.h, //18
cc::OcclusionTrackerBase, //19, //3, //500, //cc/trees/occlusion_tracker.h, //33
extensions::ApiResourceManager, //22, //5, //154, //chrome/browser/extensions/api/api_resource_manager.h, //61
ppapi::thunk::EnterInstanceAPI, //71, //12, //26, //ppapi/thunk/enter.h, //264
ppapi::thunk::EnterInstanceAPINoLock, //1, //1, //6, //ppapi/thunk/enter.h, //295
pp::ResourceArrayOutputAdapter, //2, //1, //26, //ppapi/cpp/array_output.h, //127
linked_hash_map, //2, //2, //118, //net/base/linked_hash_map.h, //31
base::MRUCache, //8, //6, //15, //base/containers/mru_cache.h, //218
gpu::gles2::WeakPtrEquals, //1, //1, //9, //gpu/command_buffer/service/context_group.cc, //246
